description	variant	link	amount per robot
Cable, UL1007, AWG22	Green, 10meters, 22AWG	https://de.aliexpress.com/item/1005005806804693.html	2x150mm
Cable, UL1007, AWG23	Orange, 10meters, 22AWG	https://de.aliexpress.com/item/1005005806804693.html	4x100mm
Cable, UL1007, AWG24	Brown, 5 meters, 22AWG	https://de.aliexpress.com/item/1005005806804693.html	3x100mm
Cable, UL1007, AWG24	Yellow, 10meters, 22AWG	https://de.aliexpress.com/item/1005005806804693.html	1x100mm, 2x150mm
Cable, UL1007, AWG24	Black, 10meters, 22AWG	https://de.aliexpress.com/item/1005005806804693.html	5x100mm, 2x150mm
Cable, UL1007, AWG24	Blue, 10meters, 22AWG	https://de.aliexpress.com/item/1005005806804693.html	1x100mm, 2x150mm
Cable, UL1007, AWG24	Red, 10meters, 22AWG	https://de.aliexpress.com/item/1005005806804693.html	2x100mm, 2x150mm
Stripboard, 5pcs, 6.5x14.5cm		https://de.aliexpress.com/item/1005003180424232.html	1x 19x7 2.54mm holes
Motordriver, DRV8833		https://de.aliexpress.com/item/1005005849285663.html	1pcs
IR Sensor, 10pcs		https://de.aliexpress.com/item/1005004089616586.html	2pcs
N20 DC Motor, 3-6V, 60rpm, 5pcs		https://de.aliexpress.com/item/1005005847467025.html	1pcs
Battery Holder, 4xAA, 5pcs		https://de.aliexpress.com/item/1005004825062091.html	1pcs
Switch 1P2T, 10pcs	Handle Length 3mm	https://de.aliexpress.com/item/4001207529493.html	1pcs
Momentary Switch, 20pcs	6x6x6mm	https://de.aliexpress.com/item/32912104842.html	1pcs
Caster, 25mm, 12pcs		https://de.aliexpress.com/item/1005005315204572.html	1pcs
40 Pin Socket, 50pcs	Female-50PCS, 40P	https://de.aliexpress.com/item/33054405721.html	2x15, 2x8, 1x7, 4x3 2.54mm socket
Arduino Nano	TYPE-C	https://de.aliexpress.com/item/1005006053215107.html	1pcs
Robot Wheel, 65mm, 2pcs		https://de.aliexpress.com/item/1005005609117457.html	2pcs
Trimmer, 5pcs	10k ohm	https://de.aliexpress.com/item/1005004550780370.html	1pcs
Window Brush Seal	Brown, 10m, 9x15mm	https://de.aliexpress.com/item/1005004884513507.html	2x65mm, 2x135mm
Versandkarton 214 x 151 x 25 mm		https://www.brack.ch/brieger-versandkarton-214-x-151-x-25-mm-1433479	1pcs
